title,coment,region,price
아이폰 12미니 64기가,"쿨거래 시 네고 가능합니다.
직거래는 아름동 싱싱장터 쪽
문고리 거래는 해밀동 가능합니다.

베터리 73%
기스 상태 화면이랑 같고
터치 안되는 곳 없고, 카메라도 이상 없습니다
얼마 전에 사설에서 카메라 교체 완료 했습니다","
        세종시  아름동
      ","
        200,000원
      "
아이폰 12 프로 맥스 256 팔아요,"아이폰 12 프로맥스 256 팝니다.
사진에 보이는 구성품 모두 다 드려요!
케이스는 실리콘 정품 케이스랑 케이스티파이 정품 케이스 
모두 다 드리구요.
케이스를 껴서 사용했던 거라 보시는것과 같이 핸드폰은 새거처럼 아주 깨끗하답니다!
에눌도 가능하니 연락주세요!!! 
쇼핑백은 케이스티파이 쇼핑백에 다 담아 드려요!","
        서울 중구 태평로2가
      ","
        650,000원
      "
아이폰 12 미니 64기가,"쿨거래 시 네고 가능합니다. 
문고리 거래는 가경동에서 가능합니다.

베터리 73%
기스 상태 화면이랑 같고
터치 안되는 곳 없고, 카메라도 이상 없습니다
얼마 전에 사설에서 카메라 교체 완료 했습니다","
        충북 청주시 흥덕구 가경동
      ","
        200,000원
      "
아이폰12프로 512,"아이폰12 프로 네이비 512기가 풀박스
(미사용 케이블 + 신지모루 강화유리 1매)
제조년월: 2020-Oct
배터리효율 77% 

수리한적 없고 배터리교환도 없습니다.
기능 모두 정상작동입니다. 

1. 카메라쪽 테두리 광 벗겨짐
2. 카메라 홀 테두리 찍힘
3. 충전부 쪽 테두리 하단 찍힘
4. 우측 하단 테두리 스크레치
5. 화면 잔기스 

터무니없는 찔러보기 답변 하지 않습니다.","
        서울 마포구 마포동
      ","
        410,000원
      "
아이폰12미니 128GB  퍼플 새배터리 외관A급,"배터리 사설교체
배터리100%(오늘교체)
교체문구있음 두번째사진 참조(기능무관)
효율은 PC로만 확인가능(마지막사진 참조)

모든기능100%정상
유심만 꽂으면 바로 사용가능

유리  깨끗(미세기스)
테두리 깨끗(작은기스)
뒷유리 깨끗

보호필름 젤리케이스 드림","
        서울 서초구 서초동
      ","
        250,000원
      "
아이폰 12 128 기가,"아이폰 12 128 기가 입니다
베터리 효율 90% 이구요 어제까지 쓰다가
떨구는바람에 갑자기 셀룰러가 안되서
저렴하게 내놓습니다 와이파이랑 블루투스는 잘되구요 고쳐쓰실분은 고쳐쓰셔도됩니다 액정은
얼마전에 사제로 교체했었구요 왼쪽위에 액정 살짝 들떳는데 쓰는데 아무상관없습니다
외관 깨끗해요","
        경기도 시흥시 신천동
      ","
        100,000원
      "
아이폰 12미니 128GB 판매합니다,"아이폰 12미니 128GB 판매합니다

-베터리 성능 74퍼

-생활 기스 있습니다
(사진 참고 하세요.)

-카메라 이상 없습니다 액정 파손 없습니다

-직거래 희망 합니다.
(가까운 거리면 직접 가져다드립니다.)

-언제든지 연락주세요.
","
        서울 성동구 성수1가제1동
      ","
        250,000원
      "
아이폰 12 프로 128g,기변으로 사용하지 안아 판매합니다. ,"
        전북 전주시 완산구 서신동
      ","
        320,000원
      "
아이폰12mini,"아이폰 12mini 64gb 배터리성능 75퍼
색상은 퍼플 입니다
기스 아주 조금 있고 없어요 상태좋아요
연락주세요","
        경북 김천시 대신동
      ","
        200,000원
      "
아이폰12 케이스 2개 총 1만원,"한번도 안쓴 제품.
따로 구매하신다면 1개당 5000원.
가격 제안X","
        서울 양천구 신월2동
      ","
        10,000원
      "
아이폰 12프로 맥스 256 팝니다,"아이폰 12 프로맥스 256 팝니다.
사진에 보이는 구성품 모두 다 드려요!
케이스는 실리콘 정품 케이스랑 케이스티파이 정품 케이스 
모두 다 드리구요.
케이스를 껴서 사용했던 거라 보시는것과 같이 핸드폰은 새거처럼 아주 깨끗하답니다!
에눌도 가능하니 연락주세요!!! 
쇼핑백은 케이스티파이 쇼핑백에 다 담아 드려요!","
        서울 중랑구 신내동
      ","
        650,000원
      "
아이폰12미니 128기가 74프로 화이트입니다,"아이폰12미니 128기가 화이트입니다
베터리효율은 74프로입니다
외관은 깨끗합니다
카메라 아래 렌즈에 실기스가 있어 가격 내려요
쿨거래시 네고 가능해요","
        강원도 원주시 태장2동
      ","
        230,000원
      "
아이폰12 64기가 배터리77% 팔아용,"아이폰12 64기가 배터리77% 팔아용
테두리와 액정에 생활기스 약간있어용
액정왼쪽 하단에 *흑점* 약간있으나 
사용하시기에 문제없습니다!
사진 필수로 확인하시고
관심있으시면 연락주세요!","
        광주 동구 충장동
      ","
        190,000원
      "
아이폰12 64기가 배터리77% 팔아용,"아이폰12 64기가 배터리77% 팔아용
테두리와 액정에 생활기스 약간있어용
액정왼쪽 하단에 *흑점* 약간있으나 
사용하시기에 문제없습니다!
사진 필수로 확인하시고
관심있으시면 연락주세요!","
        광주 동구 금남로1가
      ","
        190,000원
      "
아이폰12프로 128 77% A급,"-외관 상태 : 테두리가 스테인리스 재질이라 생활기스 있습니다. 찍힘은 없습니다
-액정 상태 : S급 (상시 필름착용)
-카메라 상태 : S급 기능정상
-배터리 : 77프로
🔵구성품:케이블+충전기(새상품), 강화유리필름, 사용하던맥세이프케이스 2개, 귀여운실리콘케이스(새상품) 2개
-안되는 기능없이 모두 정상작동
-사설수리내역없고,3사 모두 개통가능
👫👨🏻‍🤝‍👨🏾가족 단체 기변으로 빠르게 처분합니다
🔴가까운거리 가져다드려요","
        전남 목포시 용해동
      ","
        390,000원
      "
아이폰 12/ 12pro 케이스,아이폰 케이스 판매합니다,"
        서울 은평구 응암동
      ","
        나눔🧡
      "
아이폰 12 미니 팔아요(64GB),"아이폰 12 미니 블랙 64GB
생활 기스 조금 있는 정도고 상태 양호합니다
배터리 성능 70%대 입니다.","
        충남 홍성군 홍성읍
      ","
        250,000원
      "
아이폰12미니 케이스,착용만 해본 새상품입니다,"
        울산 동구 전하1동
      ","
        3,000원
      "
아이폰12용 토픽 암밴드 + 케이스 팔아요,"안녕하세요 이번에 24울트라로 기변해서 아이폰 악세사리들 팔려고 합니다 
사용감 좀있습니다 상태는 양호합니다
아이폰12 쓰는분들 런닝하실때 착용하면 좋습니다
*해당장소에서만 거래합니다*","
        경기도 의정부시 의정부3동
      ","
        30,000원
      "
아이폰12 팝니다,"아니폰12 64기가 입니다
배터리효율 84%네요
가까운곳 배달 갑니다
생활기스 있어요 액정 아주 깨끗 합니다","
        경기도 평택시 청북읍
      ","
        300,000원
      "
아이폰12미니 256기가,"모델명 아이폰12미니 쌈무
구성품 본체
배터리 23년3월 교환(사설)
광각카메라 이상으로 23년5월 교환(사설)","
        경남 김해시 율하동
      ","
        300,000원
      "
z플립5민트256. 아이폰12프로맥스나 아이폰13프로 교환하실분,z플립5민트256. 아이폰12프로맥스나 아이폰13프로 교환하실분 연락주세요,"
        대구 동구 안심1동
      ","
        12,384원
      "
아이폰12pro,"아이폰12프로 본품 팔아요

배터리성능 85프로
사설 수리이력 없습니다.

자세한 상태는 사진 확인부탁드립니다^^","
        충북 충주시 목행.용탄동
      ","
        450,000원
      "
"팝니다~♡) 아이폰12미니 128G 배터리성능73% 액정 생활기스, 테두리흠집약간","팝니다~♡) 아이폰12미니 128G 배터리성능73% 액정 생활기스, 테두리흠집약간
약간의 생활기스 및 흠집 빼면 다른 하자 없습니다.
성능문제 전혀 없는 공기계입니다.
사용하시는데 문제 없으세요~~~
문의주세요.♡","
        광주 동구 충장로1가
      ","
        220,000원
      "
아이폰12 미니 방수케이스,"아이폰12미니 방수케이스
구입후 한번 사용
방수 체크 완료

반품,환불 불가합니다.
내고 문의 답변 안 드립니다.

동천더샵이스트포레 정문앞 CU편의점에서 거래합니다.
월,금 4:30 가능, 수5:00 가능 합니다.
택배거래 가능(구매자 부담)

위크나인 방수케이스 잠수함케이스 방수팩 갤럭시 갤럭시노트 아이폰
https://link.coupang.com/a/bGTO6q","
        경기도 용인시 수지구 동천동
      ","
        10,000원
      "
👍아이폰12미니 / 아이폰13미니 처분합니다,"👍아이폰12미니 / 아이폰13미니 처분합니다

아이폰12미니 퍼플(27만)
128기가 
배터리 84%
전체적으로 깔끔하나 약한 생활기스 2개정도 있어요 

아이폰13미니 핑크(41먀)
128기가 
배터리 89%
전체적으로 깔끔하나 약한 생활기스 2개정도 있어요

","
        경기도 파주시 목동동
      ","
        270,000원
      "
아이폰12프로 128 블루 배터리 78%,".아이폰 12프로 128G 블루팝니다
케이스 필름 붙히고 사용해서 외관 액정은 깨끗하며  배터리 성능 78%입니다 배터리때문에 시세보다 싸게판매합니다 구매하시면 배터리만 따로 교체해서 사용하시면 새폰입니다
기기만 판매합니다
정상해지된폰이라 걱정안하셔도됩니다 알뜰폰 선택약정할인 다 가능합니다
홍대입구역 9번출구앞에서만 직거래합니다
가격내린거라 에누리 안됩니다
진짜 구매하실분만 연락주세요.","
        서울 마포구 동교동
      ","
        400,000원
      "
💕아이폰12미니 / 아이폰13미니 처분합니다,"아이폰12미니 / 아이폰13미니 처분합니다

아이폰12미니 퍼플(27만)
128기가 
배터리 84%
전체적으로 깔끔하나 약한 생활기스 2개정도 있어요 

아이폰13미니 핑크(41만)
128기가 
배터리 89%
전체적으로 깔끔하나 약한 생활기스 2개정도 있어요","
        서울 강서구 방화동
      ","
        270,000원
      "
아이폰12미니 구합니다,ios버전 16으로 구합니다,"
        인천 연수구 송도4동
      ","
        200,000원
      "
아이폰 12 화이트 128GB,"아이폰 12 128GB 화이트 판매 
자급제라 약정 X
배터리 효율 86% 
외관 잔기스 찍힘 등 확인되지 않음 
직거래 선호 
기타 문의 메세지 부탁드립니다","
        인천 남동구 구월1동
      ","
        390,000원
      "
아이폰12미니 128gb,"액정 사설수리했습니다 
페이스아이디잘됩니다
연락주세용","
        경기도 고양시 덕양구 화정2동
      ","
        200,000원
      "
아이폰 12프로 128 팝니다,"아이폰 12프로 128기가
퍼시픽블루입니다
잔기스 하나 없구요 배터리 성능 77프로입니다","
        울산 남구 신정4동
      ","
        400,000원
      "
아이폰12미니 256GB,"아이폰12미니 256GB 블랙색상입니다

본체와 케이스들 구성입니다.

구매하실 때 초기화 해서 드릴게요","
        경북 포항시 북구 환호동
      ","
        320,000원
      "
아이폰 12 미니 128GB 팝니다. (배터리 효율 99%),"아이폰 12 미니 팝니다.
색상 : 그린
용량 : 128GB
배터리 효율 : 99% (사이클 60-70회정도, 100회 안됨)
최초 개통 통신사 : SKT (선택약정 가능)
박스 있고 충전케이블은 없습니다.
액정 필름(강화 유리)은 1주일 전 새걸로 교체했습니다.
기변해서 판매합니다.
테두리 생활기스 있으며, 한군데 찍힘 있습니다.
(예민한 분은 피해주세요.)
거래는 퇴근 전까지 가능합니다. (밤 8시 이전)
6/25일부터 거래 가능합니다.(물건이 집에 있음)
6/24일 당일 거래는 밤에 부천으로 오시면 가능
중고 거래 특성상 반품/환불 불가합니다.
쿨거래 시 차비 빼드립니다.","
        인천 부평구 청천2동
      ","
        320,000원
      "
"팝니다~♡) 아이폰12미니 128G 배터리성능73% 액정 생활기스, 테두리흠집약간","팝니다~♡) 아이폰12미니 128G 배터리성능73% 액정 생활기스, 테두리흠집약간
약간의 생활기스 및 흠집 빼면 다른 하자 없습니다.
성능문제 전혀 없는 공기계입니다.
사용하시는데 문제 없으세요~~~
문의주세요.♡
","
        광주 동구 서남동
      ","
        220,000원
      "
아이폰12미니 128g리퍼제품 팝니다,"아이폰12미니 리퍼 블루색상 팔아요
6월24일 오늘 리퍼받았구요
리퍼받을때 유심인증해야한다고 해서
수리기사님이 인증받을때 빼고는 사용 안한 상태입니다 궁금한건 문의주세요
kt에서 사용했구요 약정 끝난 공기계에요","
        경기도 용인시 수지구 죽전1동
      ","
        400,000원
      "
아이폰12 128G S급,"아이폰12 128G
배터리 효율 85%
상태 좋음
직거래 가능합니다","
        경기도 수원시 권선구 세류1동
      ","
        370,000원
      "
아이폰 12미니 정품 실리콘 케이스 단순개봉 팝니다!,아이폰 12미니 정품 실리콘 케이스 팝니다 화이트 색상입니다 깨끗하고 예쁩니다! 단순개봉만 한 제품입니다 그래서 찍힘 까짐 기스 아예 없습니다! 네고는 조금 어려울거 같습니다 많이 연락주세용ㅎㅎ 감사합니다!,"
        경기도 수원시 장안구 정자3동
      ","
        15,000원
      "
아이폰12미니 블루 64 팝니다 A급,"생활기스 조금 있는거빼고는 상태좋아요
배터리 75프로
통화 및 기능 전혀 문제없습니다
","
        경기도 부천시 심곡2동
      ","
        200,000원
      "
아이폰 12미니 팝니다,"아이폰 12미니 팝니다 배터리 효율 76%
액정 깨짐이나 기기 이상없습니다.
초기화 해놔서 그대로 사용하시면 됩니다
거래는 평화동, 송학동, 모현동 선호합니다.","
        전북 익산시 오산면
      ","
        220,000원
      "
아이폰 12 미니 128GB A급,"배터리 효율 83%
액정파손 X 찍힘 X
중고폰 업자한테 a급 판정 받았습니다.","
        부산 북구 화명제1동
      ","
        290,000원
      "
아이폰 12 미니 블랙 128GB,"아이폰 미니 12 블랙 128G

테두리 잔기스 있음
배터리 72%

기능 모두 정상작동합니다
폰 바꿔서 싸게 팔아욤

사진 추후에 찍어 올리겠습니다!
(수/목 예정)

직거래 -역말사거리/역촌 가능","
        서울 은평구 역촌동
      ","
        200,000원
      "
아이폰 12미니 퍼플 128기가,"아이폰 12미니 64기가 배터리 성능 80%입니다
2022년 초에 구매해서 서브폰으로 쓰며
깨끗하게 사용했습니다. 하자는 뒷면에 기스 있구용 
충전하는곳에 찍힘 나머지는 생활기스랑
몇번 찍으면서 생긴 자잘한 상처입니다
현제 시세는 25만원인데 돈이 급해서 
이 가격에 판매합니다 택배,직거래 둘다 가능합니다
택배비는 추가로 받겠습니다
소독해서 보내드립니다","
        경남 남해군 남면
      ","
        160,000원
      "
팝니다~♡) 아이폰12 128G 배터리성능86% 생활기스 ㅇ,"팝니다~♡) 아이폰12 128G 배터리성능86% 생활기스 ㅇ
테두리 부분에 약간의 생활기스 빼면 다른 하자 없습니다.
성능문제 전혀 없는 공기계입니다.
사용하시는데 문제 없으실거에요^^
문의주세요.♡♡♡","
        광주 동구 서남동
      ","
        340,000원
      "
아이폰 12미니 퍼플 128기가,"아이폰 12미니 64기가 배터리 성능 80%입니다
2022년 초에 구매해서 서브폰으로 쓰며
깨끗하게 사용했습니다. 하자는 뒷면에 기스 있구용 
충전하는곳에 찍힘 나머지는 생활기스랑
몇번 찍으면서 생긴 자잘한 상처입니다
현제 시세는 25만원인데 돈이 급해서 
이 가격에 판매합니다 택배,직거래 둘다 가능합니다
택배비는 추가로 받겠습니다
소독해서 보내드립니다","
        경남 남해군 창선면
      ","
        160,000원
      "
팝니다~♡) 아이폰12 128G 배터리성능86% 생활기스 ㅇ,"팝니다~♡) 아이폰12 128G 배터리성능86% 생활기스 ㅇ
테두리 부분에 약간의 생활기스 빼면 다른 하자 없습니다.
성능문제 전혀 없는 공기계입니다.
사용하시는데 문제 없으실거에요^^
문의주세요.♡♡♡","
        광주 동구 충장로1가
      ","
        340,000원
      "
