Title,Price,Rating,Reviews
"카라스 삼성 NT940X5M NT940X5N 시리즈용 노트북 클린스킨, 1개","5,080",5.0,4
"델 2022 Alienware X14 코어i7 인텔 12세대 지포스 RTX 3050 Ti, Lunar Light, 1TB, 16GB, WIN11 Pro, DAWX14-WP02KR","2,833,850",5.0,1
"카라스 에이수스 비보북 S15 M533IA 블루라이트차단 액정필름, 1개","19,400",5.0,1
"HP 2024 노트북 15 라이젠5 라이젠 7000 시리즈, Natural Silver, 512GB, 16GB, WIN11 Home, 15-FC0260AU","738,000",,0
"MSI 2024 씬 A15 라이젠5 라이젠 7000 시리즈 지포스 RTX 2050, 코스모스그레이, 512GB, 8GB, Free DOS, B7UCX-R5-232XKR","899,000",,0
"레노버 2024 아이디어패드 슬림 3 15IAU7 코어i3 인텔 12세대, Arctic Grey, 512GB, 8GB, Free DOS, 82RK0164KR","504,000",5.0,65
"LG전자 2023 울트라 PC 15 코어i3 인텔 13세대, 화이트, 256GB, 8GB, WIN11 Home, 15U50R-GR30K","895,000",5.0,11
"HP 2023 노트북 15 코어i5 인텔 13세대, Natural Silver, 512GB, 16GB, WIN11 Home, 15-fd0096tu","858,260",4.5,1009
"LG그램15 코어i5(10세대/ 램 16G/ SSD 256G/ 윈도우11프로 초경량 1.09kg, 15ZB995, 코어i5, 256GB, 16GB, WIN10","759,000",5.0,21
"HP 2024 노트북 17 코어i3 인텔 13세대, Natural Silver, 256GB, 4GB, Free DOS, 17-cn3001TU","599,000",,0
"삼성전자 갤럭시북Go NT345XPA-K14AS 윈도우탑재 태블릿 휴대용 가성비 학생용 문서작성 셀룰러 데이터공유 LTE USIM, WIN11 Home, 4GB, 128GB, 실버","399,000",5.0,19
"MSI Sword GF76 17.3 코어i7 인텔 13세대 지포스 RTX 4060, 블랙, 1TB, 32GB, WIN11 Pro, GF76 B13VFK","1,675,000",5.0,125
"삼성전자 갤럭시북4 프로 NT960XGQ-A51A 인텔 울트라5 색상선택 16인치 고해상도 AI 노트북 사무용 대학생 터치스크린 노트북, 문스톤그레이, NT960XGQ-A51AG, 코어Ultra5, 512GB, 16GB, WIN11 Home","1,599,000",5.0,346
삼성전자 NT371B5J i5 8G SSD256GB Win11,"238,000",4.5,38
"레노버 2024 V15 G4 ABP 라이젠5 라이젠 5000 시리즈, lron Grey, 256GB, 8GB, Free DOS, 82YY000PKR","439,000",,0
"삼성노트북 NT550XED-K24A 윈도우11탑재 가성비 인강용 사무용 학생용 업무용 노트북 추천 한컴오피스 증정, 그라파이트, 펜티엄, 128GB, 8GB, Windows11Pro","569,000",5.0,290
"레노버 2023 아이디어패드 슬림 3 15IAH8 코어i5 인텔 12세대, ARCTIC GREY, 512GB, 16GB, Free DOS, 83ER0060KR","739,000",5.0,277
"LG그램 14Z980 I5-8250U/16G/SSD512G/UHD620/14/WIN10, WIN10 Home, 16GB, 512GB, 코어i5, 스노우 화이트","580,000",4.5,448
"A급중고 HP 840-G4 i5-7300U/8G/SSD256G/HD620/14/WIN10 명품노트북 인강용, E7470, WIN10 Pro, 8GB, 256GB, 코어i5, 블랙","199,000",4.0,107
"MSI 2024 모던 14 라이젠5 라이젠 7000 시리즈, 매트블랙, 1TB, 8GB, Free DOS, Modern 14 C7M-R5 237XKR","629,000",,0
"레노버 2023 아이디어패드 슬림 3 15ABR8 15.6 라이젠5 라이젠 7000 시리즈, ARCTIC GREY, 256GB, 16GB, Free DOS, 82XM0039KR","648,900",5.0,387
"LG 그램 14Z980 8세대 코어i5-8250U 14인치 윈도우10, WIN10, 16GB, 512GB, 코어i5, 화이트","559,000",4.5,448
"LG 8세대 GRAM 14Z980 코어i5 16GB SSD256GB Win10, WIN10 Pro, 256GB, 화이트","549,000",4.5,448
"삼성 LG HP 노트북 i5 가정 업무 게임 포토샵 주식용 Win10 무상1년 사은품, 실버/블랙, 삼성NT371B5J i7 게임용, 500GB, 8GB","346,000",4.5,156
"델 2024 인스피론 15 3520 코어i5 인텔 12세대, 카본 블랙, 512GB, 8GB, Linux, DN3520-UB07KR","669,360",,0
A급중고 삼성 NT371B5L I5-6300HQ/16G/SSD256G/HD530/15.6/WIN10 풀스펙 노트북,"398,000",4.5,118
"중고노트북 삼성 LG HP DELL 레노버 한성 ASUS 정품윈도우 SSD 대화면 노트북, 14/15인치, WIN10 Home, 4GB, 128GB, 코어i5, 블랙","98,000",4.0,50
"삼성 노트북3 NT371B5J I5-4310M/8G/SSD256G/HD4600/15.6/WIN10, WIN10, 8GB, 256GB, I5, 투톤","189,000",4.0,230
"사무용 노트북 렌탈 대여 임대 사무용 가정용 회사용 관공서용 대량렌탈가능, 사무용노트북, WIN11 Pro, 8GB, 128GB, 코어i5, 15일","34,900",5.0,42
"레노버 2024 V15 G4 13420H 코어i5 인텔13세대, Iron Grey, 256GB, 16GB, WIN11 Home, 83A100HGKR","809,000",5.0,4
"삼성 노트북 I3-3210 4G ssd120G, 삼성노트북, 코어i5 3210, 120GB, 4GB, WIN10 Home","144,000",4.0,6
"노트북렌탈 LG그램 사무용 갤럭시북 대여 인강용, 고사양 사무용노트북, WIN10 Home, 8GB, 256GB, 코어i5, 5일 렌탈","18,000",4.5,3
"네오북 2024 노트북 14.1 셀러론, 핑크, 128GB, 6GB, WIN11 Home, N14GO","259,000",5.0,1
"중고노트북 삼성 LG HP DELL 레노버 한성 ASUS 정품윈도우 SSD 대화면 노트북, WIN10 Home, 4GB, 128GB, 코어i5, 블랙","98,000",4.0,50
"레노버 2024 V15 G4 13420H 코어i5 인텔13세대, Iron Grey, 256GB, 16GB, Free DOS, 83A100HHKR","689,000",5.0,4
"SGIN 노트북 15.6 DDR4 4G SSD 128G 사무용 대학생 회색, WIN11 Home, grey, 128GB, M15-N, 4GB","199,100",5.0,7
"삼성 사무용 인강 노트북 인텔 i5 i7 SSD장착 윈10 홈, NT370E, WIN10 Home, 8GB, 128GB, 코어i5 4세대, 블랙","259,000",4.5,101
"삼성 NT901X3L i5 8G 128G Win10 중고노트북, NT901X3H, WIN10 Home, 8GB, 256GB, 코어i5","289,000",4.5,42
"삼성 LG HP 노트북 i5 가정 업무 게임 포토샵 주식용 Win10 무상1년 사은품, 블랙, 삼성NT371B5L, i5 6200, 500GB, 8GB","326,000",4.5,156
"Lenovo 씽크패드 라이젠5 WIN10 Pro 램16G SSD1TB E585, 1TB, 16GB","509,000",,0
"레노버 아이디어패드 슬림 1 15IJL7 15.6 셀러론 인텔 10세대, SAND, 128GB, 4GB, WIN11 Home, 82LX00A7KR","369,000",4.5,183
"삼성노트북 6세대 코어i5 블랙 사무용 8GB 128GB NT371B5L, NT501R3M, 코어i3, WIN10","279,300",4.5,28
"코어2듀오 SSD120G RAM 4G 사무용 노트북, 엘지/삼성, 윈도우7, 4GB, 128GB, 랜덤","109,000",4.0,6
"베이직스 2022 베이직북 14 3세대 셀러론, White, 256GB, 8GB, WIN11 Pro, BB1422SS","382,080",4.5,2071
"HP 2024 엘리트북 630 G10 13.3 코어i5 인텔 13세대, 실버, 512GB, 16GB, WIN11 Pro, G10-9F290PT","1,128,990",,0
"레노버 ThinkPad E585 라이젠5 윈도우10Pro 15.6인치 노트북, WIN10 Pro, 8GB, 256GB","304,000",5.0,4
LG전자 엑스노트 U460 인텔 i5 램8G SSD256G 정품 Win10,"159,000",5.0,1
"SGIN 노트북 17.3 DDR4 8G SSD 256G 사무용 대학생 회색, WIN11 Home, grey, 256GB, M17PRO-N, 8GB","299,000",5.0,4
"A급중고 HP 430-G2 I5-4210/8G/SSD128G/HD4400/13.3/WIN10 대용량SSD장착, WIN10 Pro, 4GB, 128GB, 코어i5, 블랙","149,000",4.0,38
"LG전자 2022 웨일북 셀러론, 화이트, 64GB, 4GB, Whale OS, 14TW30Q-EO14ML","890,000",,0
"SGIN 노트북 15.6 DDR4 8G SSD 256G 가성비노트북 사무용 회색, WIN11 Home, grey, 256GB, M15PRO-N, 8GB","229,000",5.0,6
"베이직스 2022 베이직북 14 3세대 셀러론, White, 256GB, 8GB, WIN11 Pro, BB1422SS","382,080",4.5,2071
"사무용 노트북 렌탈 대여 임대 사무용 가정용 회사용 관공서용 대량렌탈가능, 사무용노트북, WIN11 Pro, 8GB, 128GB, 코어i5, 30일","49,900",5.0,42
"LG그램15 코어i5(10세대/ 램 16G/ SSD 256G/ 윈도우11프로 초경량 1.09kg, 15ZB995, 코어i5, 256GB, 16GB, WIN10","759,000",5.0,21
삼성전자 노트북 9 metal NT901X5L i5-6200U 8G SSD Win10,"287,990",4.5,39
"삼성 노트북 15인치 FHD 사무용 게이밍 인강용 인텔 i5 8세대 SSD장착 노트북 NT551EBE, 메탈릭티탄, NT511EBE, 코어i5, 256GB, 8GB, WIN10 Pro","393,300",4.5,19
"빅트랙 브이북 15.6 셀러론, Space Silver, 512GB, 8GB, Windows 11 HOME, VIC-LPTP01","359,000",5.0,40
"삼성 노트북 15.6인치 NT371B5L 사무용 가정용 인강용 게이밍 롤 포토샵 i5 ssd탑재 윈10 pro, 코어i5, 512GB, 16GB, WIN10 Pro","389,000",4.5,88
"LG 노트북 그램 14Z980 가벼운 그램노트북 i5 DDR4 초고속 M.2 SSD 장착 윈도우10 프로, WIN10, 16GB, 256GB, 코어i5, 화이트","549,000",4.5,448
"HP 14-ep0165TU - 학생용 인강용 가성비 저렴한 노트북, WIN11 Home, 32GB, 1TB, Silver","835,000",,0
"삼성 15.6인치 사무용 노트북 i5 6세대 SSD장착 윈10프로 무선마우스, WIN10 Pro, 블랙, 512GB, 코어i5, NT501R5A, 16GB","389,000",4.5,41
"베이직스 2023 베이직북S 10.1 셀러론, White, 128GB, 8GB, WIN11 Pro, BB1022FW","397,000",4.5,373
"LG그램 14Z980 I5-8250U/8G/SSD256G/UHD620/14/WIN10, WIN10, 8GB, 256GB, I5, 스노우화이트","498,000",5.0,81
"삼성 15.6인치 사무용 노트북 i5 6세대 SSD장착 윈10프로 무선마우스, WIN10 Pro, 블랙, 512GB, 코어i5, NT501R5A, 16GB","389,000",4.5,41
"삼성 중고 노트북 13인치 i5 / i7 RAM8GB SSD256GB 학습용 사무용 Win10(정품), NT901X3H_i7-6500U, WIN10, 8GB, 256GB, B급실버","309,000",5.0,1
"LG 그램 14Z980 8세대 코어i5-8250U 14인치 윈도우10, WIN10, 16GB, 512GB, 코어i5, 화이트","559,000",4.5,448
"HP 2023 노트북 240 G10 14 코어i5 인텔 13세대, 블랙, 512GB, 16GB, WIN11 Home, G10-9F1E3PT","819,000",,0
"삼성전자 노트북 9 metal NT901X5L i5-6200U 8G SSD Win10, WIN10 Home, 8GB, 512GB, 코어i5","345,450",4.5,22
"LG전자 울트라PC 15U590 FHD 15인치 i5-8265U/16G/NVMe 1TB/UHD620/Win10, win10 pro, 16GB, 512GB, 코어i5, 화이트","499,000",5.0,20
"삼성 사무용 인강 노트북 인텔 i5 i7 SSD장착 윈10 홈, NT370E, WIN10 Home, 8GB, 256GB, 코어i5 6세대, 블랙","299,000",4.5,101
"레노버 아이디어패드 Slim1-15ALC7, 15ALC7, Free DOS, 8GB, 256GB, 실버","378,000",5.0,7
"삼성 15인치 FHD 사무용 인강용 인텔 8세대 SSD장착 노트북 NT551EBE, WIN10 Pro, 16GB, 256GB, 코어i5, 블랙","429,000",4.5,24
"노트북/16인치/DDR4 16G/SSD 512G/가성비노트북/슬림/FHD IPS/업무용/사무용/그레이, WIN11 Home, grey, 16GB, 512GB, 노트북","319,900",4.5,39
"삼성전자 중고노트북 삼성노트북 NT501R5A 상태좋은 최강 중고노트북, WIN11 Pro, 8GB, 256GB, 코어i5 6200U, BLACK","329,000",4.0,16
"삼성전자 갤럭시북2 삼성S'이벤트 사은품증정 업무용 고성능노트북 NT550XEZ-코어i5/i3 윈도우11, A-코어i3/8GB/256GB/실버, WIN11 Home, 256GB, 8GB, 2-USB메모리/충전기/노트북가방 외","694,000",4.5,5
"삼성 15.6인치 사무용 노트북 i5 6세대 SSD장착 윈10프로 무선마우스, WIN10 Pro, 블랙, 256GB, 코어i5, NT501R5A, 8GB","319,000",4.5,41
LG 그램 14Z960 i5-6200 8G SSD256G Win10 가벼운 슬림한 노트북 980g,"389,560",4.0,85
"MSI 2023 모던 14 라이젠5 라이젠 7000 시리즈, 매트블랙, 512GB, 8GB, Free DOS, MODERN 14 C7M-237XKR","589,000",5.0,70
"HP 2023 노트북 255 G10 15.6 라이젠5 라이젠 7000 시리즈, 실버, 256GB, 8GB, Free DOS, 8L8J5PA","589,000",5.0,161
"삼성전자 NT371B5L 램16G m.2 512G+500GB 윈도우10 듀얼하드, 블랙, 코어i5, 1012GB, 16GB, WIN10 Home","299,000",5.0,97
"삼성 NT901X3L i5 8G 128G Win10 중고노트북, NT901X3H, WIN10 Home, 8GB, 128GB, 코어i5","269,000",4.5,42
"삼성전자 NT371B5J i5 8G SSD256GB Win10, 256GB, 8GB, WIN10 Home","230,000",4.0,7
"점퍼노트북 14 슬림 비즈니스 노트북 FHD+IPS/DDR4 12G+256G 그레이, WIN11 Home, Grey, 12GB, 256GB, S5-12256-J4105","241,500",5.0,4
"아이뮤즈 2020 스톰북 14.1 셀러론, White, 64GB, 4GB, WIN11 Home, StormBooK14","189,000",4.0,325
