PID,NAME,PRICE,PRODUCT_IMAGE,LOCATION,DELTA_TIME
269422073,아이폰 14 프로맥스 256gb 블랙 급처합니다(배터리 89),1150000,https://media.bunjang.co.kr/product/269422073_1_1717508513_w{res}.jpg,강원특별자치도 춘천시 효자2동,1719982290
209087252,(1대남음)아이폰14 프로 256기가 스페이스블랙,1270000,https://media.bunjang.co.kr/product/209087252_1_1719721719_w{res}.jpg,경기도 수원시 팔달구 인계동,1719838422
274862019,아이폰 14 프로 맥스 256g 블랙,950000,https://media.bunjang.co.kr/product/274862019_1_1719209728_w{res}.jpg,경상북도 포항시 북구 장량동,1719209728
273740585,아이폰14 256기가,650000,https://media.bunjang.co.kr/product/273740585_1_1718841228_w{res}.jpg,경상남도 창원시 의창구 봉림동,1718883472
270085603,아이폰14 256 화이트 배터리 90,730000,https://media.bunjang.co.kr/product/270085603_1_1719217329_w{res}.jpg,서울특별시 노원구 상계6.7동,1719217319
271923466,"실 사용, b급) 아이폰 14 옐로 128gb 판매합니다",650000,https://media.bunjang.co.kr/product/271923466_1_1718275954_w{res}.jpg,서울특별시 광진구 광장동,1719737463
261439414,아이폰 14pro 128gb,1100000,https://media.bunjang.co.kr/product/261439414_1_1716896381_w{res}.jpg,서울특별시 강북구 삼각산동,1718786720
275098800,아이폰14프로 256 판매합니다,899000,https://media.bunjang.co.kr/product/275098800_1_1719297234_w{res}.jpg,전북특별자치도 군산시 수송동,1719296407
275414098,개인중고 아이폰14프로256g 배터리100% 단품,900000,https://media.bunjang.co.kr/product/275414098_1_1719644302_w{res}.jpg,경기도 부천시 성곡동,1719730166
263916748,액정/외관깨끗 아이폰14 배터리성능86% 화이트 256gb 21487,770000,https://media.bunjang.co.kr/product/263916748_1_1716082950_w{res}.jpg,울산광역시 남구 삼산동,1716082950
263916707,액정/외관깨끗 아이폰14 배터리성능86% 화이트 256gb 21487,770000,https://media.bunjang.co.kr/product/263916707_1_1716082921_w{res}.jpg,울산광역시 남구 삼산동,1716082921
