data_pid,location,price,time,title,month,brand,series,model,storage,coment
,        부산 사하구 괴정제1동      ,240000,,아이폰11 128 기가 화이트,,애플,아이폰 11,regular,128,"아이폰11 128G 화이트 입니다. 

배터리 성능 77% 남아있어요. 

항상 케이스+보호필름 끼우고 사용해서 눈에 띄는 큰 기스는 없습니다. 카메라도 기스없이 깨끗합니다. 

다만 디스플레이 부분에 생활기스 보이는데 
큰 흠은 없고 불빛에 비춰보면 보이는 기스입니다. 

질문이 있으시면 알려주세요"
,        대구 동구 신천동      ,270000,,아이폰11 64기가 상태 좋음,,애플,아이폰 11,regular,64,"서브폰으로 간간히 쓰던 건데 
이번에 싹다 바꾸면서 판매해요 
항상 강화유리랑 케이스끼고 다녀서 생활기스 외에는 상태 좋습니다!!! 화면 금이나 깨짐 전혀 없어요
배터리 성능상태 마지막 사진 참고해주시고 
쿨거시 에눌도 가능합니다 :)
연락주세요 !!

원하시면 택배 거래도 가능

구매후 환불이나 반품은 안돼요 ㅠ"
,        대구 달성군 현풍읍      ,220000,,아이폰11 64기가,,애플,아이폰 11,regular,64,"아이폰11 64기가이고요
생활기스있고요 액정에 찍힘 있어요
중고거래상 환불안되고요 예민하신분❌
쿨거시 네고가능"
,        경기도 수원시 영통구 이의동      ,340000,,아이폰 11 프로,,애플,아이폰 11,pro,256,"배터리 80% 
외관 A급
유심만 넣으시면 됨
용량 256기가 
페이스타임 굳.
하자 없음"
,        충남 계룡시 금암동      ,135000,,아이폰11 프로,,애플,아이폰 11,pro,64,"액정 파손 되었으나 기능엔 문제 없음.
64기가.
밧데리 85% 
"
,        서울 서대문구 냉천동      ,185000,,(단품) 아이폰 xr 11 64기가 판매,,애플,아이폰 11,regular,64,"(단품) 아이폰 XR 11 64기가 판매

사진에 상태 사진 기재했습니다.
배터리 잔량 80% 

간단히 옛날감성으로 쓰실 분 
좋은 가격에 판매합니다 :)"
,        전북 전주시 완산구 효자5동      ,290000,,"아이폰 11 128, 77%",,애플,아이폰 11,regular,128,"모서리 부분에 생활기스 있음
액정 멀쩡, 액정 보호필름 살짝 깨짐"
,        부산 수영구 광안동      ,250000,,아이폰 11 레드 64gb ( 배터리성능 72% ),,애플,아이폰 11,regular,64,"아이폰 11 레드색상 64GB 배터리 성능 72% 판매합니다 !! 
카메라 렌즈 둘레부분과 핸드폰 모서리부분에 도색 벗겨진 곳이 몇군데 있어서 저렴하게 팔 생각이에요
케이스 끼우면 이상 없고 카메라 렌즈랑 액정은 전혀 이상없습니다 !
터무니없는 금액만 아니면 네고 해드릴 의향 있으니 적극적으로 채팅 부탁드려요 :)"
,        대구 달성군 화원읍      ,540000,,아이폰 11프로 공기계 512gb 100%,,애플,아이폰 11,pro,512,"아이폰 11프로 512GB 미드나잇 그린 효율 100%

세컨폰 용도로써서 사용감이 많이 없습니다.

정상해지 후 공장초기화 진행 완료.

공식 수리 및 사설 수리 이력 X

충전, 페이스 아이디, 카메라 등 모든 기능 정상 작동

전면, 후면, 측면 / 찍힘, 긁힘 X, 케이스 함께 사용

배터리 효율 100퍼센트 (사진 참조)

박스 포함, 충전기&케이블 미포함

만나서 확인 후 구매하시면 됩니다.
네고 문의에 답장하지 않습니다. 
현장 네고 요구시 거래하지 않습니다.

중고거래 특성상 교환 / 환불 불가합니다."
,        부산 동래구 안락동      ,200000,,아이폰 11 128 퍼플 -> 아이폰 12 블랙 교환 판매도 o,,애플,아이폰 11,regular,128,"모서리 까짐 있습니다! 
크게 파손된 부분 X 작동상 문제도 없어요
박스는 없고 본체만 있습니당
추금 당연히 드려요!"
