title,coment,region,price
삼성 갤럭시 s20+ 정상해지 판매합니다,"외관상태 아주 좋습니다.
정상해지되어 3사 사용가능 합니다
선택약정 가능합니다.
약잔상 있습니다.
기능이상 없습니다.

가져다드려요 연락주세요","
        경기도 남양주시 다산1동
      ","
        200,000원
      "
삽니다      갤럭시S21 울트라 삽니다," 갤럭시S21 울트라 삽니다

깨끗한 폰으로 구해요 ","
        서울 서대문구 연희동
      ","
        300,000원
      "
갤럭시s21 정말깨끗히쓴 정상해지 공기계팝니다,"s21 정상해지폰 팝니다 3사 유심끼고바로사용하시면됩니다
상태보시면 잘샀다 생각드실겁니다 잔상없고 기스없고 밧데리성능이나 모든면에서 최상입니다
유심끼고 바로사용하시면됩니다
","
        경북 포항시 북구 송라면
      ","
        230,000원
      "
갤럭시 S10 128기가 s급,"갤럭시 S10 128기가 s급 팝니다
새폰 3년 정도 깨끗하게 사용했습니다 ~

둔전역 근처 직거래 가능합니다","
        경기도 용인시 처인구 포곡읍
      ","
        150,000원
      "
갤럭시 S20 FE 128,"천상 있어요
나머지는 다 괜찮아요
문의 주세요","
        경기도 수원시 팔달구 고등동
      ","
        160,000원
      "
갤럭시 s23 울트라팝니다,"갤럭시s23 울트라입니다
이번에가서 액정 교체받아온거구요
스티커도안때고쓴 a급제품입니다
위아래쪽 초기스티커붙어있는겁니다
기스일절없어요
필름도 삼성서비스센터에서 정품필름
붙여왔습니다
색상은 그린입니다
용량은256GB 이구요
구매일은22년07.23입니다
배터리상태도좋습니다","
        충북 제천시 장락동
      ","
        800,000원
      "
갤럭시S20 FE 5g 128기가 S급,"정상해지했고 유심만바로꼽고사용하시면됩니다
액정 파손  없습니다 배터리정상 카메라정상
네고문의하지마세요","
        경기도 수원시 팔달구 고등동
      ","
        180,000원
      "
갤럭시 S24울트라 256,"유플러스 개통 
정상 해지 상태(약정할인 가능)
카메라 부분에만 살짝 기스있습니다
그외에 상태 매우 좋습니다
기기 단품","
        대전 서구 갈마1동
      ","
        115만원
      "
갤럭시 탭 S7 fe 팝니다 거의 새거에요,써볼려고 샀는데 안써져서 다시 팝니다 거의 새거구요 팔리면 글 삭제합니다 글 있으면 안팔린거에요 와주셔야 합니다!!,"
        경북 포항시 남구 상대동
      ","
        310,000원
      "
갤럭시s22울트라 특s급 판매합니다,"외관기스,생활기스 1도없는 특s급
해지 일주일 전에 액정 교체했습니다
정상해지 상품입니다
액정에 보호필름붙어있어 액정또한 깨끗하고
교체 후 보호필름 아직 붙어있는거 사진상 확인가능하십니다","
        서울 구로구 구로제4동
      ","
        520,000원
      "
갤럭시 탭 s8,"싸게 가져가세요 

깨끗합니다

본체 케이스 펜입니다","
        강원도 춘천시 석사동
      ","
        450,000원
      "
갤럭시 S21 울트라 5G,"정상해지폰입니다.
하단 부분만 기스 살짝 있구요
아무것도 교체한적없는 제품입니다.

중고로 구매했는데 마음이 바뀌어 다른 폰 구매하려고 팝니다.","
        경기도 화성시 병점동
      ","
        380,000원
      "
갤럭시 탭 s6 lite 64,인강용으로만 사용했고 삼성 정품 북커버 s펜 같이 드립니다,"
        광주 광산구 선암동
      ","
        220,000원
      "
갤럭시S22 256,"테두리쪽 사용감 없어요
잔상일체없어요
기능도 정상입니다","
        경기도 수원시 팔달구 화서2동
      ","
        330,000원
      "
갤럭시S21 256 바이올렛,"갤럭시S21 256GB 바이올렛 입니다.
정상해지 됐고 액정과 렌즈 기스 없고
뒤판과 모퉁이 세월의 흔적 있습니다. 
휴대폰 단품만 있습니다.
액정 번인 없습니다.","
        충북 음성군 금왕읍
      ","
        190,000원
      "
갤럭시탭 s8플러스 5g,최근에 올갈이 했습니다 ,"
        부산 금정구 구서제2동
      ","
        600,000원
      "
갤럭시s21 검정색상 판매합니다.,"핸드폰 상태는 전체적으로 깨끗해요!
액정에도 기스는 안보이구요
잔상이라고 하나..? 하단에 홈키있는부분이 조금 붉으스름 해요

그외에는 딱히 하자없이 상태 좋아요~","
        인천 남동구 만수동
      ","
        220,000원
      "
갤럭시S22 싸게 판매,"갤럭시S22
용량 256GB
22.05월 최초통화

모든기능 정상작동
액정 깨끗 잔상이나,파손,고장 없습니다.
테두리 생활스크레치 정도 있습니다.

액정필름새거
케이스 새거 같이드려요","
        전남 광양시 광양읍
      ","
        280,000원
      "
갤럭시탭s9 울트라 그라파이트 512 wifi 단순개봉급 팝니다,"사진보시다시피 사이드에 스티커조차 떼지 않은 단순개봉 급입니다

모델명 SM-X910NZAEKOO

제조 23년 7월입니다 

네고 요청은 대답 안하도록 하겠습니다","
        서울 강남구 역삼1동
      ","
        115만원
      "
[강잔상/갤럭시S21 5G]업무폰추천/G991/256/보라/78655,"실제 재고 사진만 올려요.

🔺제품상세🔺

✅  모델명 SM-G991N
✅  최초통신사 LGU+(3사호환 가능)
✅  색상 보라
✅  용량 256GB
✅  최초개통일 22.02.03

🔺외관상태🔺

⭐️ 깨끗해요.가성비로 쓰기 좋아요! ⭐️

강한 잔상이 있구요 액정과 테두리에 보호필름 부착되어 있어요 충전단자에 생활감 있지만 전체적으로 깨끗해요!

흠집을 최대한 보이게 촬영하므로 실물이 더 깨끗합니다.

⭐️A/S⭐️
1년 이내 무상수리 (고객과실 불가)

전기능 검수 후 출고됩니다.

09:30~ 18:30(시간 외 답변 불가)","
        인천 부평구 삼산2동
      ","
        189,000원
      "
갤럭시S23 울트라 512G 판매합니다.,"2023년 2월 U+ 통신사 제품입니다. (자급제X)
보증기간 2025년 2월 까지 남았습니다.

구성 상품 : 갤럭시S23 울트라 스마트폰 단품(박스, 케이스, 충전기X)

사용 했을 때 케이스 사용하여 하자 없는 S급 상태 입니다.

직거래로만 가능 하고 중고거래 특성상 환불 안됩니다.

사실 분만 연락 바랍니다 :)","
        전북 완주군 봉동읍
      ","
        850,000원
      "
갤럭시S 22 256G 핑크 팝니다.,"갤럭시S 22 256G 핑크 팝니다.

미세 생활기스 외 이상 없으며 상태 아주 

좋습니다. 서울 직거래 당산역 8번 출구 

앞에서만 가능합니다.

네고 불가 , 반품 불가하니 오셔서 부담없이 

천천히 보고 구입하세요. 



","
        서울 영등포구 당산동6가
      ","
        320,000원
      "
