,data_pid,href,image_url,location,price,time,title,series
2,258889037,https://m.bunjang.co.kr/products/258889037,https://media.bunjang.co.kr/product/258889037_1_1718711036_w292.jpg,광주광역시 북구 운암1동,40000,2024-06-24 20:01:20,갤럭시 s24 울트라 512gb 대여 합니다 (직거래 광주),갤럭시 S24
3,238002490,https://m.bunjang.co.kr/products/238002490,https://media.bunjang.co.kr/product/238002490_1_1706272573_w292.jpg,인천광역시 연수구 송도1동,1930000,2024-06-24 19:56:20,삽니다) 갤럭시 s24울트라 s24플러스 s24 폴드5 플립5 s23,갤럭시 S24
4,274917688,https://m.bunjang.co.kr/products/274917688,https://media.bunjang.co.kr/product/274917688_1_1719223800_w292.jpg,지역정보 없음,733000,2024-06-24 19:10:20,kt 갤럭시s24 5g 블랙 256g s급 판매합니다,갤럭시 S24
6,274917943,https://m.bunjang.co.kr/products/274917943,https://media.bunjang.co.kr/product/274917943_1_1719223877_w292.jpg,전라남도 여수시 소라면,929000,2024-06-24 19:12:20,갤럭시s24플러스 자급제 특sss급 풀박스 새제품급(선물용)여수,갤럭시 S24
7,249947163,https://m.bunjang.co.kr/products/249947163,https://media.bunjang.co.kr/product/249947163_1_1718693182_w292.jpg,대전광역시 서구 둔산1동,45000,2024-06-24 20:07:20,갤럭시 s24 울트라 대여 22/23 가능,갤럭시 S24
8,254211943,https://m.bunjang.co.kr/products/254211943,https://media.bunjang.co.kr/product/254211943_1_1719042278_w292.jpg,지역정보 없음,199000,2024-06-24 19:10:20,"갤럭시s24[새상품,미개봉,전컬러]",갤럭시 S24
9,254213166,https://m.bunjang.co.kr/products/254213166,https://media.bunjang.co.kr/product/254213166_1_1719219502_w292.jpg,지역정보 없음,299000,2024-06-24 19:10:20,"갤럭시s24플러스[미개봉,새상품,전색상]",갤럭시 S24
11,254207967,https://m.bunjang.co.kr/products/254207967,https://media.bunjang.co.kr/product/254207967_1_1719219455_w292.jpg,지역정보 없음,599000,2024-06-24 19:13:20,"갤럭시s24울트라[전색상,미개봉,새상품]",갤럭시 S24
12,274906754,https://m.bunjang.co.kr/products/274906754,https://media.bunjang.co.kr/product/274906754_1_1719220949_w292.jpg,지역정보 없음,1250000,2024-06-24 19:08:20,갤럭시s24울트라 ss급 중고폰,갤럭시 S24
13,274916888,https://m.bunjang.co.kr/products/274916888,https://media.bunjang.co.kr/product/274916888_1_1719224416_w292.jpg,부산광역시 동래구 사직제3동,800000,2024-06-24 19:08:20,겔럭시s24 256gb 미사용 단순개봉,갤럭시 S24
