title,coment,region,price
갤럭시 노트20. 울트라 256g,"sk 정상해지 공기계 입니다
우측 상단 모서리 찍힘
액정에 흑점 하나 있습니다

박스 보유중이며 부속품은 없어요-
아직 안쓴 보호필름도 같이 드릴게요

계속 문제 없이 사용 하다 기변으로 
정리 합니다-","
        부산 남구 문현동
      ","
        250,000원
      "
갤럭시20 울트라 노트 256기가,"갤럭시20울트라노트 256 입니다
액정 금이 나있는 상태이고 사진상으론 잘안보이지만 전면 금이 대각선으로 나있는상태입니다
사용하시는데는 불편함이 없고
노트펜 다 있습니다","
        대구 달서구 장동
      ","
        270,000원
      "
갤럭시s20+ 블루 256gb 팝니다,"작년에 액정 배터리교체했습니다
번인없고 액정 파손 기스 있습니다(사진참고)","
        경기도 부천시 오정동
      ","
        160,000원
      "
겔럭시 노트20 팝니다,"생활기스 조금 있구, 게임용으로만 써서 깨끗합니다
연락주세요","
        충남 천안시 서북구 직산읍
      ","
        150,000원
      "
"갤럭시 S20FE 블랙색상, KT","핸드폰 상태 깨끗하구요
작동 이상 없습니다.
유심 끼우고 바로 사용하시면 되요
화면에 연한 잔상있는데
불편하지는 않습니다
성능, 배터리 상태 좋아요
케이스 새거 남는거 같이 드려요","
        경남 김해시 삼계동
      ","
        170,000원
      "
갤럭시S20울트라 판매합니다.,"상태 A급입니다.
뒷판 기스 없으며, 측면부 약한기스 존재합니다
거래는 원동초, 원동소방서 앞에서 가능합니다.","
        경기도 오산시 갈곶동
      ","
        290,000원
      "
갤럭시 s20팝니다,"s20 그레이 팝니다.
정상작동하고
이상 없습니다.
깨끗히 잘 썼습니다
사용하고 있어서 사진을
못찍네요.
아이폰 하고도
교환가능합니다.
아이폰xs나 se3","
        경북 김천시 신음동
      ","
        160,000원
      "
갤럭시 노트20 브론즈 256기가 무잔상 공기기폰! 초깨끗,"액정,외관 미세한 생활기스제외하고 엄청깨끗합니다
폰컨디션 정말좋구요.
기능,성능 하자일체없습니다 
배터리상태도 좋아요.
정상해지 되어있어서 통신사 상관없이
유심꼽고 바로사용하시면 됩니다.
최초통신사 skt
네고문의는 사양합니다 
구로1동에서 직거래가능합니다;->","
        서울 구로구 구로제1동
      ","
        220,000원
      "
(와~) 갤럭시노트20 256G 그린 A+급 팔아요,"♡LG유뿔로 개통 후 현재 정상해지.
    ->통신3사 유심만 꽂으면됨.
        공장초기화 상태입니다.
♡윗부분보면 살짝 찍힘 있습니다.(잘안보임)
    전체적으로 깨끗합니다.
♡잔상X
♡게임 안하고 유튜브,인터넷검색용으로 사용.
♡액정필름 새거 드림.
 중고특성상 환불,취소의 어려움이 있습니다.
 업자 아닙니다^^
","
        경기도 평택시 고덕동
      ","
        230,000원
      "
갤럭시노트 20 울트라 256 화이트,"상태는 보시다시피 깨끗합니다.  항상 케이스에 끼워  사용해서 기스난 곳 거의 없네요. 
케이블 구멍 주변에 잔기스 조금 있네요. 
보호필름이 조금 지저분해서 벗기고 어제 16000원 들여 새로 부착했어요. 
포맷한 상태 입니다.
케이스도 깨끗하게 보관중 입니다. 함께 드려요.","
        서울 성동구 상왕십리동
      ","
        350,000원
      "
