data_pid,location,price,time,title,month,brand,series,model,storage
271832564,지역정보 없음,328000,2024-06-17 20:14:37,[a급/무잔상] 갤럭시s22 256g 그린 lg #보증남음,29,삼성,갤럭시 S22,regular,256
268389509,지역정보 없음,550000,2024-06-10 20:14:37,갤럭시 s22 울트라 256gb 와인,29,삼성,갤럭시 S22,Ultra,256
264566109,인천광역시 서구 청라1동,580000,2024-06-17 20:14:37,갤럭시s22울트라 256g 버건디 센터올갈이 s급!,29,삼성,갤럭시 S22,Ultra,256
268715976,지역정보 없음,550000,2024-06-10 20:14:37,갤럭시 s22 울트라 512g skt,29,삼성,갤럭시 S22,Ultra,512
269287456,지역정보 없음,380000,2024-06-10 20:14:37,갤럭시  s22 플러스 256gb 블랙,29,삼성,갤럭시 S22,plus,256
270490980,울산광역시 남구 신정5동,309000,2024-06-17 20:14:37,갤럭시s22 (s901) 256gb 화이트 무잔상 a급,29,삼성,갤럭시 S22,regular,256
268456280,지역정보 없음,300000,2024-06-10 20:14:37,갤럭시 s22   256  팜니다,29,삼성,갤럭시 S22,regular,256
267258276,울산광역시 남구 신정5동,299000,2024-06-17 20:14:37,갤럭시s22 5g (s901) 256gb 핑크 무잔상 - 울산중고폰,29,삼성,갤럭시 S22,regular,256
271653496,지역정보 없음,340000,2024-06-17 20:14:37,(2861)갤럭시s22플러스 256 무잔상 판매합니다,29,삼성,갤럭시 S22,plus,256
272049437,지역정보 없음,351000,2024-06-17 20:14:37,[a급/무잔상] 갤럭시s22울트라 512g 버건디 lg #보증남음,29,삼성,갤럭시 S22,Ultra,512
271591950,지역정보 없음,359000,2024-06-17 20:14:37,(2650)갤럭시s22플러스 256 무잔상 판매합니다,29,삼성,갤럭시 S22,plus,256
271586287,지역정보 없음,320000,2024-06-17 20:14:37,(2703)갤럭시s22 256gb 무잔상 깨끗한기기 판매,29,삼성,갤럭시 S22,regular,256
271570621,지역정보 없음,328000,2024-06-17 20:14:37,[무잔상] 갤럭시s22플러스 256g 그린 sk #파손x,29,삼성,갤럭시 S22,plus,256
271656793,지역정보 없음,333000,2024-06-17 20:14:37,[a급/무잔상] 갤럭시s22 256g 블랙 lg #보증남음,29,삼성,갤럭시 S22,regular,256
270868547,울산광역시 남구 신정5동,300000,2024-06-17 20:14:37,갤럭시s22 (s901) 256기가 화이트 무잔상 a급,29,삼성,갤럭시 S22,regular,256
258815992,울산광역시 북구 효문동,449000,2024-06-17 20:14:37,갤럭시s22플러스 (s906) 256기가 화이트 무잔상 aaa급 - 울산,29,삼성,갤럭시 S22,plus,256
271595291,지역정보 없음,340000,2024-06-17 20:14:37,(2551)갤럭시s22플러스 256 무잔상 판매합니다,29,삼성,갤럭시 S22,plus,256
269477191,서울특별시 금천구 가산동,540000,2024-06-10 20:14:37,갤럭시 s22울트라 512기가 (0864),29,삼성,갤럭시 S22,Ultra,512
271543191,지역정보 없음,304000,2024-06-17 20:14:37,[a급/무잔상] 갤럭시s22 256g 블랙 lg #파손x,29,삼성,갤럭시 S22,regular,256
263474242,전라남도 영광군 영광읍,369000,2024-06-17 20:14:37,(3001)갤럭시s22플러스 256 무잔상 판매합니다,29,삼성,갤럭시 S22,plus,256
271911795,지역정보 없음,346000,2024-06-17 20:14:37,[a급/무잔상] 갤럭시s22플러스 256g 그린 sk #파손x,29,삼성,갤럭시 S22,plus,256
270992211,지역정보 없음,269000,2024-06-10 20:14:37,(1901)갤럭시s22 256gb 무잔상 판매합니다,29,삼성,갤럭시 S22,regular,256
270960620,지역정보 없음,620000,2024-06-10 20:14:37,"갤럭시 s22울트라 1tb,1테라 자급제 레드팝니다.",29,삼성,갤럭시 S22,Ultra,1TB
269608110,전라남도 순천시 삼산동,340000,2024-06-17 20:14:37,삼성 갤럭시s22 256gb 그린 a+급 순천/여수/광양 중고폰,29,삼성,갤럭시 S22,regular,256
269389063,지역정보 없음,385000,2024-06-10 20:14:37,갤럭시s22울트라 256기가 팝니다,29,삼성,갤럭시 S22,Ultra,256
271401828,경기도 양주시 양주2동,490000,2024-06-17 20:14:37,갤럭시 s22 울트라 바이올렛 색상 256gb 판매합니디,29,삼성,갤럭시 S22,Ultra,256
271831200,지역정보 없음,269000,2024-06-17 20:14:37,[a급/잔상] 갤럭시s22 256g 블랙 lg #액정깨끗 #보증남음,29,삼성,갤럭시 S22,regular,256
270837330,경기도 부천시 심곡2동,380000,2024-06-10 20:14:37,s급 갤럭시s22 무잔상 256기가 핑크 중고폰,29,삼성,갤럭시 S22,regular,256
271358047,지역정보 없음,374000,2024-06-17 20:14:37,[s급/무잔상] 갤럭시s22 256g 그린 sk #액정깨끗,29,삼성,갤럭시 S22,regular,256
267392287,인천광역시 서구 청라1동,380000,2024-06-03 20:14:37,갤럭시s22 256g 블랙 s급!,29,삼성,갤럭시 S22,regular,256
