,data_pid,href,image_url,location,price,time,title,series
0,274930572,https://m.bunjang.co.kr/products/274930572,https://media.bunjang.co.kr/product/274930572_1_1719227084_w292.jpg,지역정보 없음,175000.0,2024-06-24 20:05:23,갤럭시s20fe 무잔상 중고,갤럭시 S20
1,274928855,https://m.bunjang.co.kr/products/274928855,https://media.bunjang.co.kr/product/274928855_1_1719226689_w292.jpg,지역정보 없음,150000.0,2024-06-24 19:58:23,선약가능)갤럭시s20fe 중고폰 공기계,갤럭시 S20
2,274926434,https://m.bunjang.co.kr/products/274926434,https://media.bunjang.co.kr/product/274926434_1_1719226109_w292.jpg,지역정보 없음,300000.0,2024-06-24 19:48:23,갤럭시 s20+ 256g bts 에디션 판매,갤럭시 S20
3,274921819,https://m.bunjang.co.kr/products/274921819,https://media.bunjang.co.kr/product/274921819_1_1719224935_w292.jpg,지역정보 없음,170000.0,2024-06-24 19:29:23,갤럭시s20fe 128gb,갤럭시 S20
4,274923099,https://m.bunjang.co.kr/products/274923099,https://media.bunjang.co.kr/product/274923099_1_1719225262_w292.jpg,경기도 김포시 풍무동,189000.0,2024-06-24 19:35:23,2갤럭시s20s[무잔상]중고폰싸게팝니다,갤럭시 S20
5,274919454,https://m.bunjang.co.kr/products/274919454,https://media.bunjang.co.kr/product/274919454_1_1719224295_w292.jpg,지역정보 없음,163000.0,2024-06-24 19:18:23,lg 갤럭시s20fe 화이트 128g a급 판매합니다,갤럭시 S20
6,274918221,https://m.bunjang.co.kr/products/274918221,https://media.bunjang.co.kr/product/274918221_1_1719223951_w292.jpg,지역정보 없음,170000.0,2024-06-24 19:17:23,갤럭시s20fe 128gb,갤럭시 S20
7,274915747,https://m.bunjang.co.kr/products/274915747,https://media.bunjang.co.kr/product/274915747_1_1719223300_w292.jpg,지역정보 없음,170000.0,2024-06-24 19:17:23,갤럭시s20fe 128gb,갤럭시 S20
8,274909140,https://m.bunjang.co.kr/products/274909140,https://media.bunjang.co.kr/product/274909140_1_1719221564_w292.jpg,지역정보 없음,170000.0,2024-06-24 19:17:23,갤럭시s20fe 128gb,갤럭시 S20
9,274906388,https://m.bunjang.co.kr/products/274906388,https://media.bunjang.co.kr/product/274906388_1_1719220855_w292.jpg,지역정보 없음,225000.0,2024-06-24 19:17:23,갤럭시s20울트라 256gb 무잔상 04226,갤럭시 S20
10,274907886,https://m.bunjang.co.kr/products/274907886,https://media.bunjang.co.kr/product/274907886_1_1719221241_w292.jpg,지역정보 없음,183000.0,2024-06-24 19:17:23,갤럭시s20 5g 그레이 128g a급 판매합니다,갤럭시 S20
11,274912856,https://m.bunjang.co.kr/products/274912856,https://media.bunjang.co.kr/product/274912856_1_1719222513_w292.jpg,지역정보 없음,234000.0,2024-06-24 19:17:23,[ss급] 갤럭시s20fe 네이비 판매합니다,갤럭시 S20
12,274906769,https://m.bunjang.co.kr/products/274906769,https://media.bunjang.co.kr/product/274906769_1_1719220952_w292.jpg,지역정보 없음,247000.0,2024-06-24 19:17:23,[할인행사중]aa급/s20플러스 256/깨끗/블루/갤럭시/256g,갤럭시 S20
13,270733191,https://m.bunjang.co.kr/products/270733191,https://media.bunjang.co.kr/product/270733191_1_1717911791_w292.jpg,지역정보 없음,260000.0,2024-06-24 19:17:23,갤럭시 s20 화이트 256g,갤럭시 S20
