data_pid,location,price,time,title,month,brand,series,model,storage
261151092,대전광역시 서구 둔산3동,1350000,2024-04-25 20:09:22,"(대전) 갤럭시s24 울트라 자급제 팝니다(256, 그레이)",6,삼성,갤럭시 S24,Ultra,256
262088855,대전광역시 서구 둔산2동,820000,2024-05-25 20:09:22,s급 갤럭시s24플러스 256g 블랙 판매합니다 s926l,6,삼성,갤럭시 S24,plus,256
260759775,경기도 화성시 남양읍,1200000,2024-04-25 20:09:22,갤럭시s24 울트라 256기가,6,삼성,갤럭시 S24,Ultra,256
261711583,부산광역시 동래구 명륜동,1260000,2024-05-25 20:09:22,갤럭시 s24 울트라 256g 자급제(활성화 2주) 판매합니다,6,삼성,갤럭시 S24,Ultra,256
261327796,전라남도 영광군 영광읍,1300000,2024-04-25 20:09:22,갤럭시s24울트라 256 s급 판매합니다,6,삼성,갤럭시 S24,Ultra,256
261118586,인천광역시 미추홀구 학익2동,1300000,2024-04-25 20:09:24,갤럭시 s24 울트라 그레이 자급제 512 팝니다,6,삼성,갤럭시 S24,Ultra,512
259470528,서울특별시 성동구 성수2가제3동,1110000,2024-04-25 20:09:24,[새제품/미개봉] 갤럭시 s24 플러스 256gb 마블 그레이,6,삼성,갤럭시 S24,plus,256
261711583,부산광역시 동래구 명륜동,1260000,2024-05-25 20:09:24,갤럭시 s24 울트라 256g 자급제(활성화 2주) 판매합니다,6,삼성,갤럭시 S24,Ultra,256
261090175,인천광역시 남동구 서창2동,1300000,2024-04-25 20:09:24,갤럭시 s24 울트라 512기가 팬텀블랙,6,삼성,갤럭시 S24,Ultra,512
261319230,서울특별시 노원구 월계2동,1000000,2024-05-25 20:09:24,(미사용) 갤럭시 s24 / 자급제 / 512 / 삼케플,6,삼성,갤럭시 S24,regular,512
261074264,부산광역시 부산진구 부전제2동,1350000,2024-04-25 20:09:24,갤럭시 s24울트라  블랙 512 자급제 팝니다.,6,삼성,갤럭시 S24,Ultra,512
261289200,경기도 수원시 팔달구 매산동,1480000,2024-04-25 20:09:24,갤럭시 s24울트라 자급제 512g 미개봉 팔아요,6,삼성,갤럭시 S24,Ultra,512
260646278,인천광역시 계양구 작전2동,1290000,2024-04-25 20:09:24,갤럭시s24울트라 256g  단순개봉 상태최상 ^^,6,삼성,갤럭시 S24,Ultra,256
261206208,서울특별시 강동구 천호제2동,1450000,2024-04-25 20:09:24,갤럭시s24울트라 512기가 미개봉 자급제 팝니다,6,삼성,갤럭시 S24,Ultra,512
260439529,대전광역시 중구 은행선화동,930000,2024-04-25 20:09:24,미개봉!!!갤럭시s24 256기가 자급제팝니다,6,삼성,갤럭시 S24,regular,256
261065092,전라남도 여수시 시전동,870000,2024-04-25 20:09:24,갤럭시s24 강남전용색상 (오렌지) 256gb 팝니다.,6,삼성,갤럭시 S24,regular,256
260969325,서울특별시 용산구 한강로동,1150000,2024-04-25 20:09:24,미개봉 갤럭시s24플러스 512g 마블그레이,6,삼성,갤럭시 S24,plus,512
261502098,경기도 안산시 상록구 본오1동,1400000,2024-05-25 20:09:24,갤럭시s24울트라 티타늄블루s급 512자급제팔아요,6,삼성,갤럭시 S24,Ultra,512
260608724,경기도 화성시 향남읍,1200000,2024-04-25 20:09:24,갤럭시s24+ 512g 자급제 s급,6,삼성,갤럭시 S24,regular,512
262174328,서울특별시 강남구 대치2동,1380000,2024-05-25 20:09:24,삼성닷컴 전용 갤럭시s24울트라 512기가 티타늄 오랜지 판매합니다,6,삼성,갤럭시 S24,Ultra,512
261105415,전라남도 영광군 영광읍,1300000,2024-04-25 20:09:24,갤럭시s24울트라 256 s급 판매합니다,6,삼성,갤럭시 S24,Ultra,256
261106539,전라남도 영광군 영광읍,899000,2024-04-25 20:09:24,(7400)갤럭시s24 256gb 깨끗한기기 판매,6,삼성,갤럭시 S24,regular,256
261105907,전라남도 영광군 영광읍,1200000,2024-04-25 20:09:24,갤럭시s24플러스 512 s급 판매합니다,6,삼성,갤럭시 S24,plus,512
261714593,경기도 용인시 기흥구 보라동,1350000,2024-05-25 20:09:24,갤럭시 s24울트라 자급제 512gb + 삼케플 + 케이스 판매합니다,6,삼성,갤럭시 S24,Ultra,512
261252477,서울특별시 성동구 성수1가제1동,1300000,2024-04-25 20:09:24,갤럭시s24울트라 512기가 네츄럴그레이 급처,6,삼성,갤럭시 S24,Ultra,512
260901733,전라남도 영광군 영광읍,899000,2024-04-25 20:09:24,(6527)갤럭시s24 512gb 판매합니다,6,삼성,갤럭시 S24,regular,512
260872360,서울특별시 영등포구 당산제2동,1100000,2024-04-25 20:09:24,극상s급_갤럭시s24 플러스 512g (자급제),6,삼성,갤럭시 S24,plus,512
260652240,서울특별시 강서구 화곡본동,1950000,2024-04-25 20:09:24,갤럭시s24플러스 자급제 256 바이올렛,6,삼성,갤럭시 S24,plus,256
